ID,Ring,Early Trophozoite,Late Trophozoite,Schizont,Gametocyte II,Gametocyte V,Ookinete
PF3D7_0210300,3.4188,5.7131,56.8968,20.3213,16.0873,26.0332,15.2743
PF3D7_0210400,8.409,15.4176,52.3461,4.8985,28.1035,33.3893,11.6594
PF3D7_0210500,3.0998,5.9257,3.5026,0.7273,5.1161,18.7348,11.7719
PF3D7_0210600,3.7364,1.5964,54.431,73.4229,12.7929,189.97,219.1037
PF3D7_0210700,2.3197,0.5873,5.1377,1.244,7.3313,98.2702,20.7279
PF3D7_0210800,13.2994,7.1793,5.6706,1.884,16.6541,54.5269,4.4844
PF3D7_0210900,71.4234,49.8003,71.8962,16.844,4.373,29.9313,70.3657
PF3D7_0211000,8.9095,1.4141,2.0965,0,9.8062,6.0508,0
PF3D7_0211100,1.2094,1.8845,1.0268,0.1746,0.9801,6.5949,0
PF3D7_0211200,3.686,7.3915,29.0575,13.2841,29.2012,47.373,13.8332
PF3D7_0211300,2.0188,0.5412,14.0428,4.6811,73.8141,72.8955,17.509
PF3D7_0211400,2.3384,0.4262,4.9404,0,14.7809,45.3413,8.7759
PF3D7_0211500,2.1223,0.509,6.7805,2.1229,3.7951,8.2984,10.4804
PF3D7_0211600,2.154,0.3775,5.3554,4.6652,7.5059,18.0025,6.6625
PF3D7_0211700,2.9889,3.9409,9.3805,2.6993,2.2576,9.3218,10.2043
PF3D7_0211800,128.9333,81.4538,120.9446,24.3723,21.2981,13.0624,44.2715
PF3D7_0211900,9.8755,2.4027,59.3613,17.3783,8.9406,50.2953,12.4091
PF3D7_0212000,4.0149,2.2872,33.5845,10.6762,70.8463,170.0536,31.3908
PF3D7_0212100,26.2526,26.6022,66.2787,25.2758,14.2256,12.9774,82.9116
PF3D7_0212200,24.0582,32.8314,19.1797,2.2961,34.9385,61.9738,54.6536
PF3D7_0212300,169.9152,227.869,215.7892,35.251,13.5321,13.7402,88.2631
PF3D7_0212400,9.5238,13.5252,13.4537,3.9264,5.8944,19.5989,11.0553
