[Gene ID]	[Genomic Sequence ID]	[UniProt ID]	[Entrez Gene ID]	[Gene Name or Symbol]	[Previous ID(s)]	
PF3D7_0201300	Pf3D7_02_v3	O96118	812609	null	PF02_0013, PFB0065w	
PF3D7_0201400	Pf3D7_02_v3	O96119	812610	null	PF02_0014, PFB0070w	
PF3D7_0201500	Pf3D7_02_v3	O96120	812611	null	PF02_0015, PFB0075c	
PF3D7_0201600	Pf3D7_02_v3	O96121	812612	null	PF02_0016, PFB0080c	
PF3D7_0201700	Pf3D7_02_v3	O96122	812613	null	PF02_0017, PFB0085c	
PF3D7_0201800	Pf3D7_02_v3	O96123	812614	KAHsp40	PF02_0018, PFB0090c	
PF3D7_0201900	Pf3D7_02_v3	O96124	812615	EMP3	PF02_0019, PFB0095c	
PF3D7_0202000	Pf3D7_02_v3	Q9TY99	812616	KAHRP	PF02_0020, PFB0100c	
PF3D7_0202100	Pf3D7_02_v3	O96125	812617	LSAP2	PF02_0021, PFB0105c	
PF3D7_0202200	Pf3D7_02_v3	Q8I669	812618	PTP1	PF02_0022, PFB0106c	
PF3D7_0202300	Pf3D7_02_v3	O96126	812619	null	PF02_0023, PFB0110w	
PF3D7_0202400	Pf3D7_02_v3	O96127	812620	null	PF02_0024, PFB0115w	
PF3D7_0202500	Pf3D7_02_v3	O96128	812621	ETRAMP2	PF02_0025, PFB0120w	
PF3D7_0202600.1	Pf3D7_02_v3	O96129	812622	null	PF02_0026, PFB0125c	
PF3D7_0202600.2	Pf3D7_02_v3	null	null	null	PF02_0026, PFB0125c	
PF3D7_0202700	Pf3D7_02_v3	O96130	812623	OPP	PF02_0027, PFB0130w	
PF3D7_0202800	Pf3D7_02_v3	C6S3A7	8444950	null	PFB0135w	
PF3D7_0202900	Pf3D7_02_v3	O96132	812624	DHHC12	PF02_0028, PFB0140w	
PF3D7_0203000	Pf3D7_02_v3	O96133	812625	null	PF02_0029, PFB0145c	
PF3D7_0203100	Pf3D7_02_v3	O96134	812626	null	PF02_0030, PFB0150c	
PF3D7_0203200	Pf3D7_02_v3	C6S3A8	8445002	null	PF02_0030, PFB0150c, PFB0151c	
PF3D7_0203300	Pf3D7_02_v3	O96136	812627	null	PF02_0031, PFB0160w	
PF3D7_0203400	Pf3D7_02_v3	Q8I668	812628	null	PF02_0032, PFB0161c	
PF3D7_0203500	Pf3D7_02_v3	null	null	null	1400.pre-tRNA-Gln-1, 1400.pre-trna-gln-1, MAL2_tRNA.Gln1, MAL2_tRNA.Gln1:tRNA	
PF3D7_0203600	Pf3D7_02_v3	O96137	812629	null	PF02_0033, PFB0170w	
PF3D7_0203700	Pf3D7_02_v3	O96138	812630	null	PF02_0034, PFB0175c	
